Question;Option A;Option B;Option C;Difficulty;Correct Answer
What is the capital of France?;Berlin;Madrid;Paris;1;C
Which river is the longest in the world?;Amazon;Nile;Yangtze;2;B
Mount Everest is located in which mountain range?;Andes;Rockies;Himalayas;2;C
Which country has the largest land area?;Russia;Canada;China;1;A
What is the smallest country by land area?;Vatican City;Monaco;San Marino;1;A
Which desert is the largest in the world?;Sahara;Arabian;Gobi;2;A
What is the official language of Brazil?;Spanish;Portuguese;French;1;B
Which ocean is the largest?;Atlantic;Indian;Pacific;1;C
Which continent has the most countries?;Africa;Asia;Europe;2;A
What is the capital city of Australia?;Sydney;Melbourne;Canberra;1;C
The Great Barrier Reef is located off the coast of which country?;Mexico;Australia;Indonesia;1;B
Which country has the highest population?;India;China;United States;2;B
The city of Istanbul is located in which country?;Greece;Turkey;Italy;1;B
Which continent is known as the "Land Down Under"?;South America;Africa;Australia;1;C
What is the longest river in the United States?;Mississippi;Missouri;Colorado;2;A
Which country is known as the Land of the Rising Sun?;China;Japan;South Korea;1;B
The Andes Mountains are located on which continent?;Africa;South America;Asia;2;B
Which country is famous for its pyramids?;Mexico;India;Egypt;1;C
What is the capital of Canada?;Toronto;Ottawa;Vancouver;1;B
Which country is the smallest by population?;Vatican City;Nauru;Tuvalu;2;A